Datetime,MW,Region,DATE,TEMP,WDSP,hour,day_of_week,month,demand_norm
2020-01-01 00:00:00,15124.501053039903,PJM_Load,2020-01-01 00:00:00,12.554767109423995,6.961384864852499,0,2,1,0.5176155157799143
2020-01-01 01:00:00,15292.181520714596,PJM_Load,2020-01-01 01:00:00,12.633242895617329,13.048409773414257,1,2,1,0.5302899303244055
2020-01-01 02:00:00,16257.23061746902,PJM_Load,2020-01-01 02:00:00,16.336374755214372,8.230500701823068,2,2,1,0.6032348145895305
2020-01-01 03:00:00,14731.212765751969,PJM_Load,2020-01-01 03:00:00,10.815016773657646,11.908449610313044,3,2,1,0.4878881488557547
2020-01-01 04:00:00,16765.211695688704,PJM_Load,2020-01-01 04:00:00,11.435689472450669,14.223198098400944,4,2,1,0.6416314320095429
2020-01-01 05:00:00,15529.0303858741,PJM_Load,2020-01-01 05:00:00,7.897119632230527,5.199602758134948,5,2,1,0.5481925563311969
2020-01-01 06:00:00,17188.069090749428,PJM_Load,2020-01-01 06:00:00,10.838653483855968,14.676973147860323,6,2,1,0.6735938304482265
2020-01-01 07:00:00,17505.171911065852,PJM_Load,2020-01-01 07:00:00,9.71986858523484,7.098403512680866,7,2,1,0.6975625887279024
2020-01-01 08:00:00,17287.742529222167,PJM_Load,2020-01-01 08:00:00,8.088405363031937,13.052537743971715,8,2,1,0.6811278175356743
2020-01-01 09:00:00,16676.53706633598,PJM_Load,2020-01-01 09:00:00,6.554631665038957,10.223636351325892,9,2,1,0.6349288086952045
2020-01-01 10:00:00,16423.528208035157,PJM_Load,2020-01-01 10:00:00,10.58413097524616,11.6315768368365,10,2,1,0.6158047020058417
2020-01-01 11:00:00,15401.907149741151,PJM_Load,2020-01-01 11:00:00,6.160395535344423,7.816782797939533,11,2,1,0.5385837294038289
2020-01-01 12:00:00,14351.186260408527,PJM_Load,2020-01-01 12:00:00,13.472317486973871,9.983130795446195,12,2,1,0.45916319637076075
2020-01-01 13:00:00,14915.051034775111,PJM_Load,2020-01-01 13:00:00,5.732158994866467,5.860220152647765,13,2,1,0.50178387841241
2020-01-01 14:00:00,14805.861383876898,PJM_Load,2020-01-01 14:00:00,12.19802215041326,13.072977338409862,14,2,1,0.49353059215525885
2020-01-01 15:00:00,13411.41843942533,PJM_Load,2020-01-01 15:00:00,9.941386264526743,11.13524255404214,15,2,1,0.38812924051478004
2020-01-01 16:00:00,13130.204960220275,PJM_Load,2020-01-01 16:00:00,10.14683489459446,9.241088421038151,16,2,1,0.3668732393813725
2020-01-01 17:00:00,13464.209558576233,PJM_Load,2020-01-01 17:00:00,7.626604244286496,10.15390497622535,17,2,1,0.3921195474221071
