Datetime,MW,Region
2020-01-01 00:00:00,15124.501053039903,PJM_Load
2020-01-01 01:00:00,15292.181520714596,PJM_Load
2020-01-01 02:00:00,16257.23061746902,PJM_Load
2020-01-01 03:00:00,14731.212765751967,PJM_Load
2020-01-01 04:00:00,16765.211695688704,PJM_Load
2020-01-01 05:00:00,15529.0303858741,PJM_Load
2020-01-01 06:00:00,17188.069090749428,PJM_Load
2020-01-01 07:00:00,17505.171911065852,PJM_Load
2020-01-01 08:00:00,17287.742529222167,PJM_Load
2020-01-01 09:00:00,16676.53706633598,PJM_Load
2020-01-01 10:00:00,16423.528208035157,PJM_Load
2020-01-01 11:00:00,15401.907149741153,PJM_Load
2020-01-01 12:00:00,14351.186260408529,PJM_Load
2020-01-01 13:00:00,14915.051034775113,PJM_Load
2020-01-01 14:00:00,14805.861383876898,PJM_Load
2020-01-01 15:00:00,13411.41843942533,PJM_Load
2020-01-01 16:00:00,13130.204960220275,PJM_Load
2020-01-01 17:00:00,13464.209558576233,PJM_Load
2020-01-01 18:00:00,12048.355284295067,PJM_Load
2020-01-01 19:00:00,12756.245888983594,PJM_Load
2020-01-01 20:00:00,13055.784417840388,PJM_Load
2020-01-01 21:00:00,12693.45883142694,PJM_Load
2020-01-01 22:00:00,13350.31662455776,PJM_Load
2020-01-01 23:00:00,14699.238987500852,PJM_Load
2020-01-02 00:00:00,15641.324661308405,PJM_Load
2020-01-02 01:00:00,15394.037865821267,PJM_Load
2020-01-02 02:00:00,16158.61143003767,PJM_Load
2020-01-02 03:00:00,16993.548432338626,PJM_Load
2020-01-02 04:00:00,16874.178431718305,PJM_Load
2020-01-02 05:00:00,16519.784742470376,PJM_Load
2020-01-02 06:00:00,16928.558426336633,PJM_Load
2020-01-02 07:00:00,16443.42715746314,PJM_Load
2020-01-02 08:00:00,17329.850209122967,PJM_Load
2020-01-02 09:00:00,17246.834709933122,PJM_Load
2020-01-02 10:00:00,16242.203737340846,PJM_Load
2020-01-02 11:00:00,15726.99965838997,PJM_Load
2020-01-02 12:00:00,15399.554814876414,PJM_Load
2020-01-02 13:00:00,13532.155049906336,PJM_Load
2020-01-02 14:00:00,14199.619874571896,PJM_Load
2020-01-02 15:00:00,13953.538654240829,PJM_Load
2020-01-02 16:00:00,13527.520614060511,PJM_Load
2020-01-02 17:00:00,12488.342129083383,PJM_Load
2020-01-02 18:00:00,13755.125223700728,PJM_Load
2020-01-02 19:00:00,13243.722208740117,PJM_Load
2020-01-02 20:00:00,12736.1742042946,PJM_Load
2020-01-02 21:00:00,13931.957736091166,PJM_Load
2020-01-02 22:00:00,14128.187909135719,PJM_Load
2020-01-02 23:00:00,14547.448448323623,PJM_Load
2020-01-03 00:00:00,15050.420364393522,PJM_Load
2020-01-03 01:00:00,15414.38171222946,PJM_Load
2020-01-03 02:00:00,16795.4317666052,PJM_Load
2020-01-03 03:00:00,17075.883847257253,PJM_Load
2020-01-03 04:00:00,17067.568401679204,PJM_Load
2020-01-03 05:00:00,16612.597396096076,PJM_Load
2020-01-03 06:00:00,17373.487694189334,PJM_Load
2020-01-03 07:00:00,17726.7271322341,PJM_Load
2020-01-03 08:00:00,17253.600175023726,PJM_Load
2020-01-03 09:00:00,16072.968091669449,PJM_Load
2020-01-03 10:00:00,16468.040087570913,PJM_Load
2020-01-03 11:00:00,15512.21708711872,PJM_Load
2020-01-03 12:00:00,15466.106641206827,PJM_Load
2020-01-03 13:00:00,14794.318667072053,PJM_Load
2020-01-03 14:00:00,14138.147168179588,PJM_Load
2020-01-03 15:00:00,13219.857107274134,PJM_Load
2020-01-03 16:00:00,14262.60356784483,PJM_Load
2020-01-03 17:00:00,12747.996162100273,PJM_Load
2020-01-03 18:00:00,12549.352620914053,PJM_Load
2020-01-03 19:00:00,13057.991698124115,PJM_Load
2020-01-03 20:00:00,13113.18262545031,PJM_Load
2020-01-03 21:00:00,13417.818099744287,PJM_Load
2020-01-03 22:00:00,14103.353676299956,PJM_Load
2020-01-03 23:00:00,14173.537920147204,PJM_Load
2020-01-04 00:00:00,15333.20398434598,PJM_Load
2020-01-04 01:00:00,15517.612910495925,PJM_Load
2020-01-04 02:00:00,16107.47747785141,PJM_Load
2020-01-04 03:00:00,16987.399958428854,PJM_Load
2020-01-04 04:00:00,17566.580406353067,PJM_Load
2020-01-04 05:00:00,17173.337396793,PJM_Load
2020-01-04 06:00:00,17413.624561714718,PJM_Load
2020-01-04 07:00:00,16443.30505996624,PJM_Load
2020-01-04 08:00:00,17379.612006954536,PJM_Load
2020-01-04 09:00:00,16071.189602279821,PJM_Load
2020-01-04 10:00:00,16410.04009764875,PJM_Load
2020-01-04 11:00:00,14685.127731669014,PJM_Load
2020-01-04 12:00:00,15105.629896174187,PJM_Load
2020-01-04 13:00:00,14860.30910641867,PJM_Load
2020-01-04 14:00:00,15280.694705898675,PJM_Load
2020-01-04 15:00:00,12861.939081054374,PJM_Load
2020-01-04 16:00:00,13153.901012985181,PJM_Load
2020-01-04 17:00:00,13269.329052087696,PJM_Load
2020-01-04 18:00:00,13779.999616067525,PJM_Load
2020-01-04 19:00:00,12975.648974691856,PJM_Load
2020-01-04 20:00:00,13141.51525455912,PJM_Load
2020-01-04 21:00:00,14941.701179515292,PJM_Load
2020-01-04 22:00:00,14159.989294978457,PJM_Load
2020-01-04 23:00:00,14968.179503703026,PJM_Load
2020-01-05 00:00:00,15461.890663833641,PJM_Load
2020-01-05 01:00:00,15543.944467842142,PJM_Load
2020-01-05 02:00:00,16863.61804912897,PJM_Load
2020-01-05 03:00:00,17488.02913206695,PJM_Load
2020-01-05 04:00:00,16592.919447572556,PJM_Load
2020-01-05 05:00:00,16792.54226982555,PJM_Load
2020-01-05 06:00:00,16952.69413874011,PJM_Load
2020-01-05 07:00:00,17148.28474333751,PJM_Load
2020-01-05 08:00:00,17641.326725428888,PJM_Load
2020-01-05 09:00:00,16700.261903219314,PJM_Load
2020-01-05 10:00:00,16309.582562692069,PJM_Load
2020-01-05 11:00:00,16230.071832122467,PJM_Load
2020-01-05 12:00:00,15497.665997092598,PJM_Load
2020-01-05 13:00:00,14608.25691968418,PJM_Load
2020-01-05 14:00:00,14254.028285396125,PJM_Load
2020-01-05 15:00:00,13017.774265191012,PJM_Load
2020-01-05 16:00:00,12669.87934343894,PJM_Load
2020-01-05 17:00:00,13462.810390890141,PJM_Load
2020-01-05 18:00:00,13758.66867124837,PJM_Load
2020-01-05 19:00:00,13589.635757790293,PJM_Load
2020-01-05 20:00:00,12875.248309156372,PJM_Load
2020-01-05 21:00:00,12964.628726748368,PJM_Load
2020-01-05 22:00:00,14265.491145874628,PJM_Load
2020-01-05 23:00:00,13939.78216580963,PJM_Load
2020-01-06 00:00:00,14950.997854346984,PJM_Load
2020-01-06 01:00:00,16096.706509001977,PJM_Load
2020-01-06 02:00:00,16226.022632310644,PJM_Load
2020-01-06 03:00:00,16708.09459038143,PJM_Load
2020-01-06 04:00:00,17712.095836350974,PJM_Load
2020-01-06 05:00:00,17494.56211988172,PJM_Load
2020-01-06 06:00:00,17868.468714898245,PJM_Load
2020-01-06 07:00:00,17965.175255083344,PJM_Load
2020-01-06 08:00:00,17604.44318839333,PJM_Load
2020-01-06 09:00:00,15357.449417150432,PJM_Load
2020-01-06 10:00:00,16414.803114544422,PJM_Load
2020-01-06 11:00:00,16866.963726136524,PJM_Load
2020-01-06 12:00:00,15396.294754259223,PJM_Load
2020-01-06 13:00:00,15574.18723399268,PJM_Load
2020-01-06 14:00:00,13729.385004402193,PJM_Load
2020-01-06 15:00:00,13357.37338905874,PJM_Load
2020-01-06 16:00:00,13966.75747177018,PJM_Load
2020-01-06 17:00:00,13657.315788486676,PJM_Load
2020-01-06 18:00:00,13276.816056529316,PJM_Load
2020-01-06 19:00:00,13629.147488648785,PJM_Load
2020-01-06 20:00:00,14107.609247452225,PJM_Load
2020-01-06 21:00:00,14152.646777667389,PJM_Load
2020-01-06 22:00:00,13891.836152907514,PJM_Load
2020-01-06 23:00:00,15146.709709768174,PJM_Load
2020-01-07 00:00:00,16479.496064266572,PJM_Load
2020-01-07 01:00:00,16314.206351777046,PJM_Load
2020-01-07 02:00:00,15942.58850692622,PJM_Load
2020-01-07 03:00:00,16753.720983246956,PJM_Load
2020-01-07 04:00:00,16781.33351348056,PJM_Load
2020-01-07 05:00:00,17194.13731411263,PJM_Load
2020-01-07 06:00:00,17121.53330972685,PJM_Load
2020-01-07 07:00:00,16004.835380437713,PJM_Load
2020-01-07 08:00:00,17654.040318650936,PJM_Load
